Program,Function,Workers,CPU%,Memory(KB),IO(KB/s),Time(s)
a,cpu,2,200,2048,8.3075,32.86
a,mem,2,197,3192,8.295,53.15
a,io,2,44,1920,8.2825,70.44
a,cpu,3,300,1920,8.27375,48.12
a,mem,3,280,3192,8.26,81.26
a,io,3,58,2048,8.24625,106.2
a,cpu,4,400,1920,8.23875,64.68
a,mem,4,350,3192,8.22625,108.14
a,io,4,70,1920,8.215,129.93
a,cpu,5,450,1920,8.20875,83.45
a,mem,5,405,3304,8.19875,136.71
a,io,5,78,2048,8.1875,183.48
b,cpu,2,200,2688,8.185,32.64
b,mem,2,201,6672,8.18375,40.09
b,io,2,69,2432,8.18,56.15
b,cpu,3,300,2816,8.1775,48.15
b,mem,3,295,8604,8.17625,62.04
b,io,3,88,2688,8.1725,55.31
b,cpu,4,400,2688,8.17125,66.27
b,mem,4,375,10776,8.1675,81.18
b,io,4,95,2688,8.16625,48.99
b,cpu,5,450,2688,8.1625,81.52
b,mem,5,440,12636,8.16,100.54
b,io,5,105,2816,8.155,92.55
b,cpu,6,500,2688,8.1525,99.53
b,mem,6,450,14660,8.14875,121.59
b,io,6,110,2944,8.1475,109.34
b,cpu,7,550,2688,8.14375,113.78
b,mem,7,485,16940,8.14125,143.13
b,io,7,115,2944,8.13875,76.32
b,cpu,8,600,2688,8.1375,132.17
b,mem,8,510,18784,8.13375,164.21
b,io,8,120,2944,8.1325,99.71
